,faculty,price,purpose1,purpose2,purpose3,freaquency,gender,class label
268,6,3,0,7,1,2,1,"Tablet (Ipad , Galaxy Tabs)"
269,6,1,0,4,7,2,2,Laptop (Notebook)
270,6,4,0,4,7,2,2,Laptop (Notebook)
271,2,2,0,1,5,1,2,Laptop (Notebook)
272,2,1,0,4,7,1,2,Laptop (Notebook)
273,5,3,2,0,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
274,1,3,6,0,3,0,1,Laptop (Notebook)
275,0,4,0,6,7,2,1,Laptop (Notebook)
276,0,6,6,6,0,1,2,Laptop (Notebook)
277,1,0,0,4,7,1,2,"Tablet (Ipad , Galaxy Tabs)"
278,1,1,0,4,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
279,1,1,0,7,3,2,2,"Tablet (Ipad , Galaxy Tabs)"
280,1,3,0,4,7,1,2,"Tablet (Ipad , Galaxy Tabs)"
281,1,2,6,4,0,2,2,"Tablet (Ipad , Galaxy Tabs)"
282,1,3,3,0,5,1,1,Laptop (Notebook)
283,1,2,0,7,5,1,2,Laptop (Notebook)
284,0,3,6,6,5,1,1,Laptop (Notebook)
285,1,1,0,4,1,0,2,Laptop (Notebook)
286,1,0,0,4,7,1,0,"Tablet (Ipad , Galaxy Tabs)"
287,1,1,0,4,5,1,2,Laptop (Notebook)
288,1,1,0,0,0,2,1,"Tablet (Ipad , Galaxy Tabs)"
289,1,2,3,1,0,2,1,Laptop (Notebook)
290,1,3,0,4,7,1,2,"Tablet (Ipad , Galaxy Tabs)"
291,1,1,0,4,4,2,2,"Tablet (Ipad , Galaxy Tabs)"
292,1,2,0,4,1,1,2,Laptop (Notebook)
293,1,1,0,4,7,3,2,Laptop (Notebook)
294,1,1,0,4,7,0,2,Laptop (Notebook)
295,1,1,0,7,4,2,0,"Tablet (Ipad , Galaxy Tabs)"
296,6,0,0,4,7,0,1,Laptop (Notebook)
297,3,0,0,4,6,1,2,Laptop (Notebook)
298,6,1,0,4,3,2,2,"Tablet (Ipad , Galaxy Tabs)"
299,6,0,0,4,1,2,2,"Tablet (Ipad , Galaxy Tabs)"
300,6,2,0,5,4,2,2,Laptop (Notebook)
301,6,3,0,7,4,1,0,"Tablet (Ipad , Galaxy Tabs)"
302,3,0,0,3,7,2,2,"Tablet (Ipad , Galaxy Tabs)"
